CS0,t_meas,CP_meas
15.0,5.0,0.64
15.0,10.0,1.15
15.0,15.0,1.57
15.0,20.0,2.38
15.0,25.0,2.87
15.0,30.0,2.78
15.0,35.0,3.46
15.0,40.0,3.71
15.0,45.0,4.3
15.0,50.0,5.28
15.0,55.0,5.47
15.0,60.0,5.85
15.0,65.0,6.72
15.0,70.0,6.78
15.0,75.0,7.08
15.0,80.0,7.36
15.0,85.0,8.1
15.0,90.0,8.9
15.0,95.0,9.15
15.0,100.0,9.6
15.0,105.0,9.97
15.0,110.0,10.27
15.0,115.0,10.28
15.0,120.0,11.06
10.0,5.0,0.35
10.0,10.0,1.16
10.0,15.0,1.39
10.0,20.0,1.61
10.0,25.0,2.35
10.0,30.0,2.72
10.0,35.0,2.96
10.0,40.0,4.04
10.0,45.0,3.69
10.0,50.0,4.15
10.0,55.0,4.52
10.0,60.0,5.36
10.0,65.0,5.5
10.0,70.0,6.3
10.0,75.0,6.61
10.0,80.0,7.14
10.0,85.0,7.08
10.0,90.0,7.27
10.0,95.0,7.53
10.0,100.0,8.04
10.0,105.0,8.2
10.0,110.0,8.49
10.0,115.0,8.86
10.0,120.0,9.3
5.0,5.0,0.24
5.0,10.0,1.1
5.0,15.0,0.89
5.0,20.0,1.33
5.0,25.0,2.0
5.0,30.0,2.04
5.0,35.0,2.28
5.0,40.0,2.72
5.0,45.0,3.26
5.0,50.0,3.24
5.0,55.0,3.94
5.0,60.0,3.95
5.0,65.0,3.74
5.0,70.0,3.91
5.0,75.0,4.02
5.0,80.0,4.23
5.0,85.0,4.23
5.0,90.0,4.31
5.0,95.0,4.45
5.0,100.0,4.65
5.0,105.0,4.98
5.0,110.0,4.9
5.0,115.0,4.69
5.0,120.0,4.78
