T,CAin,CBin,tau,CA_meas
70,1,0.9,2,0.989
70,1,0.9,24,0.795
70,1,0.9,46,0.678
70,1,0.9,68,0.587
70,1,0.9,90,0.53
70,1,0.9,112,0.472
70,1,0.9,134,0.442
70,1,0.9,156,0.404
70,1,0.9,178,0.364
70,1,0.9,200,0.349
80,1,0.75,2,0.947
80,1,0.75,13,0.766
80,1,0.75,24,0.645
80,1,0.75,35,0.578
80,1,0.75,46,0.51
80,1,0.75,56,0.479
80,1,0.75,67,0.445
80,1,0.75,78,0.406
80,1,0.75,89,0.385
80,1,0.75,100,0.37
90,0.75,1,2,0.645
90,0.75,1,7,0.457
90,0.75,1,13,0.342
90,0.75,1,18,0.256
90,0.75,1,23,0.216
90,0.75,1,29,0.168
90,0.75,1,34,0.143
90,0.75,1,39,0.125
90,0.75,1,45,0.112
90,0.75,1,50,0.086
