T,CA0,CB0,CZ_10,CZ_30,CZ_50
150,0.014,0.014,0.0015,0.00371,0.00522
150,0.014,0.017,0.00179,0.00443,0.0062
150,0.014,0.02,0.00211,0.00497,0.0069
150,0.017,0.014,0.0018,0.00442,0.00608
150,0.017,0.017,0.00215,0.00515,0.0072
150,0.017,0.02,0.00254,0.00596,0.00813
150,0.02,0.014,0.0021,0.005,0.00697
150,0.02,0.017,0.00251,0.00596,0.00809
150,0.02,0.02,0.00293,0.00683,0.0093
160,0.014,0.014,0.00253,0.00565,0.00741
160,0.014,0.017,0.00303,0.00651,0.00845
160,0.014,0.02,0.00349,0.00735,0.00939
160,0.017,0.014,0.00305,0.00656,0.00848
160,0.017,0.017,0.00361,0.00766,0.00977
160,0.017,0.02,0.00416,0.00868,0.011
160,0.02,0.014,0.0035,0.00736,0.0094
160,0.02,0.017,0.00415,0.00857,0.0109
160,0.02,0.02,0.0048,0.00983,0.0122
170,0.014,0.014,0.004,0.00761,0.0093
170,0.014,0.017,0.00473,0.00873,0.0106
170,0.014,0.02,0.00539,0.00964,0.0116
170,0.017,0.014,0.00478,0.00875,0.0105
170,0.017,0.017,0.00555,0.0101,0.0121
170,0.017,0.02,0.00635,0.0113,0.0134
170,0.02,0.014,0.00537,0.00963,0.0114
170,0.02,0.017,0.00636,0.0113,0.0133
170,0.02,0.02,0.00724,0.0126,0.0149
