yA,yB,yY,yZ,PA
0.3,0.231,0.155,0.314,0.256
0.3,0.231,0.234,0.234,0.267
0.3,0.231,0.31,0.159,0.265
0.3,0.35,0.115,0.234,0.242
0.3,0.35,0.175,0.175,0.245
0.3,0.35,0.231,0.119,0.249
0.3,0.462,0.079,0.159,0.236
0.3,0.462,0.119,0.119,0.237
0.3,0.462,0.157,0.081,0.252
0.4,0.198,0.133,0.269,0.349
0.4,0.198,0.201,0.201,0.362
0.4,0.198,0.265,0.137,0.352
0.4,0.3,0.099,0.201,0.328
0.4,0.3,0.15,0.15,0.347
0.4,0.3,0.198,0.102,0.336
0.4,0.396,0.067,0.137,0.306
0.4,0.396,0.102,0.102,0.323
0.4,0.396,0.135,0.069,0.334
0.5,0.165,0.111,0.224,0.439
0.5,0.165,0.167,0.167,0.433
0.5,0.165,0.221,0.114,0.447
0.5,0.25,0.082,0.167,0.405
0.5,0.25,0.125,0.125,0.434
0.5,0.25,0.165,0.085,0.423
0.5,0.33,0.056,0.114,0.397
0.5,0.33,0.085,0.085,0.403
0.5,0.33,0.112,0.058,0.407
0.6,0.132,0.088,0.18,0.52
0.6,0.132,0.134,0.134,0.53
0.6,0.132,0.177,0.091,0.545
0.6,0.2,0.066,0.134,0.508
0.6,0.2,0.1,0.1,0.514
0.6,0.2,0.132,0.068,0.512
0.6,0.264,0.045,0.091,0.477
0.6,0.264,0.068,0.068,0.488
0.6,0.264,0.09,0.046,0.5
0.7,0.099,0.066,0.135,0.607
0.7,0.099,0.101,0.101,0.628
0.7,0.099,0.133,0.068,0.637
0.7,0.15,0.05,0.1,0.589
0.7,0.15,0.075,0.075,0.595
0.7,0.15,0.099,0.051,0.605
0.7,0.198,0.034,0.068,0.583
0.7,0.198,0.051,0.051,0.584
0.7,0.198,0.067,0.035,0.596
