T,PA0,t_meas,P_meas
225.0,2.0,1.0,5.96
225.0,2.0,2.0,5.82
225.0,2.0,3.0,5.81
225.0,2.0,4.0,5.73
225.0,2.0,5.0,5.68
225.0,2.0,6.0,5.58
225.0,2.0,7.0,5.52
225.0,2.0,8.0,5.51
225.0,2.0,9.0,5.44
225.0,2.0,10.0,5.44
225.0,2.0,11.0,5.33
225.0,2.0,12.0,5.32
225.0,2.0,13.0,5.29
225.0,2.0,14.0,5.27
225.0,2.0,15.0,5.22
225.0,2.0,16.0,5.19
225.0,2.0,17.0,5.1
225.0,2.0,18.0,5.04
225.0,2.0,19.0,5.08
225.0,2.0,20.0,5.05
225.0,2.0,21.0,4.98
225.0,2.0,22.0,4.95
225.0,2.0,23.0,4.93
225.0,2.0,24.0,4.92
225.0,3.0,1.0,5.94
225.0,3.0,2.0,5.86
225.0,3.0,3.0,5.76
225.0,3.0,4.0,5.62
225.0,3.0,5.0,5.55
225.0,3.0,6.0,5.54
225.0,3.0,7.0,5.39
225.0,3.0,8.0,5.37
225.0,3.0,9.0,5.35
225.0,3.0,10.0,5.24
225.0,3.0,11.0,5.19
225.0,3.0,12.0,5.12
225.0,3.0,13.0,5.05
225.0,3.0,14.0,4.99
225.0,3.0,15.0,4.95
225.0,3.0,16.0,4.95
225.0,3.0,17.0,4.84
225.0,3.0,18.0,4.78
225.0,3.0,19.0,4.73
225.0,3.0,20.0,4.76
225.0,3.0,21.0,4.68
225.0,3.0,22.0,4.68
225.0,3.0,23.0,4.65
225.0,3.0,24.0,4.61
225.0,4.0,1.0,5.91
225.0,4.0,2.0,5.85
225.0,4.0,3.0,5.72
225.0,4.0,4.0,5.58
225.0,4.0,5.0,5.53
225.0,4.0,6.0,5.46
225.0,4.0,7.0,5.38
225.0,4.0,8.0,5.29
225.0,4.0,9.0,5.25
225.0,4.0,10.0,5.16
225.0,4.0,11.0,5.17
225.0,4.0,12.0,5.09
225.0,4.0,13.0,5.04
225.0,4.0,14.0,4.95
225.0,4.0,15.0,4.94
225.0,4.0,16.0,4.87
225.0,4.0,17.0,4.79
225.0,4.0,18.0,4.75
225.0,4.0,19.0,4.67
225.0,4.0,20.0,4.71
225.0,4.0,21.0,4.66
225.0,4.0,22.0,4.62
