T,Vdot,CA_in,CB_in,CY_in,CZ_in,CY_out
300.0,50.0,0.5,0.5,0.5,0.5,0.86
300.0,50.0,0.5,0.5,0.5,1.0,0.82
300.0,50.0,0.5,0.5,0.5,2.5,0.69
300.0,50.0,0.5,0.5,0.5,5.0,0.61
300.0,50.0,0.5,0.5,1.0,0.5,1.38
300.0,50.0,0.5,0.5,1.0,1.0,1.33
300.0,50.0,0.5,0.5,1.0,2.5,1.19
300.0,50.0,0.5,0.5,1.0,5.0,1.1
300.0,50.0,0.5,0.5,2.5,0.5,2.87
300.0,50.0,0.5,0.5,2.5,1.0,2.81
300.0,50.0,0.5,0.5,2.5,2.5,2.71
300.0,50.0,0.5,0.5,2.5,5.0,2.61
300.0,50.0,0.5,0.5,5.0,0.5,5.37
300.0,50.0,0.5,0.5,5.0,1.0,5.32
300.0,50.0,0.5,0.5,5.0,2.5,5.2
300.0,50.0,0.5,0.5,5.0,5.0,5.1
300.0,50.0,0.5,1.0,0.5,0.5,0.95
300.0,50.0,0.5,1.0,0.5,1.0,0.92
300.0,50.0,0.5,1.0,0.5,2.5,0.8
300.0,50.0,0.5,1.0,0.5,5.0,0.66
300.0,50.0,0.5,1.0,1.0,0.5,1.45
300.0,50.0,0.5,1.0,1.0,1.0,1.42
300.0,50.0,0.5,1.0,1.0,2.5,1.3
300.0,50.0,0.5,1.0,1.0,5.0,1.18
300.0,50.0,0.5,1.0,2.5,0.5,2.96
300.0,50.0,0.5,1.0,2.5,1.0,2.92
300.0,50.0,0.5,1.0,2.5,2.5,2.79
300.0,50.0,0.5,1.0,2.5,5.0,2.66
300.0,50.0,0.5,1.0,5.0,0.5,5.45
300.0,50.0,0.5,1.0,5.0,1.0,5.41
300.0,50.0,0.5,1.0,5.0,2.5,5.29
300.0,50.0,0.5,1.0,5.0,5.0,5.16
300.0,50.0,0.5,2.5,0.5,0.5,0.98
300.0,50.0,0.5,2.5,0.5,1.0,0.96
300.0,50.0,0.5,2.5,0.5,2.5,0.9
300.0,50.0,0.5,2.5,0.5,5.0,0.78
300.0,50.0,0.5,2.5,1.0,0.5,1.49
300.0,50.0,0.5,2.5,1.0,1.0,1.47
300.0,50.0,0.5,2.5,1.0,2.5,1.4
300.0,50.0,0.5,2.5,1.0,5.0,1.28
300.0,50.0,0.5,2.5,2.5,0.5,2.98
300.0,50.0,0.5,2.5,2.5,1.0,2.96
300.0,50.0,0.5,2.5,2.5,2.5,2.9
300.0,50.0,0.5,2.5,2.5,5.0,2.78
300.0,50.0,0.5,2.5,5.0,0.5,5.48
300.0,50.0,0.5,2.5,5.0,1.0,5.48
300.0,50.0,0.5,2.5,5.0,2.5,5.4
