T (F),Vdot (gal/min),CA_in (lbmol/gal),CY_in (lbmol/gal),CZ_in (lbmol/gal),CA_out (lbmol/gal)
90.00000000000006,0.5,0.01,0,0,0.007
90.00000000000006,0.5,0.01,0,0.01,0.0072
90.00000000000006,0.5,0.01,0,0.02,0.0071
90.00000000000006,0.5,0.01,0,0.03,0.0071
90.00000000000006,0.5,0.01,0.01,0,0.0067
90.00000000000006,0.5,0.01,0.01,0.01,0.0082
90.00000000000006,0.5,0.01,0.01,0.02,0.0091
90.00000000000006,0.5,0.01,0.01,0.03,0.0095
90.00000000000006,0.5,0.01,0.02,0,0.007
90.00000000000006,0.5,0.01,0.02,0.01,0.0088
90.00000000000006,0.5,0.01,0.02,0.02,0.0101
90.00000000000006,0.5,0.01,0.02,0.03,0.0115
90.00000000000006,0.5,0.01,0.03,0,0.0077
90.00000000000006,0.5,0.01,0.03,0.01,0.009
90.00000000000006,0.5,0.01,0.03,0.02,0.0106
90.00000000000006,0.5,0.01,0.03,0.03,0.0128
90.00000000000006,0.5,0.02,0,0,0.0112
90.00000000000006,0.5,0.02,0,0.01,0.0119
90.00000000000006,0.5,0.02,0,0.02,0.0133
90.00000000000006,0.5,0.02,0,0.03,0.0129
90.00000000000006,0.5,0.02,0.01,0,0.0133
90.00000000000006,0.5,0.02,0.01,0.01,0.0137
90.00000000000006,0.5,0.02,0.01,0.02,0.0139
90.00000000000006,0.5,0.02,0.01,0.03,0.0149
90.00000000000006,0.5,0.02,0.02,0,0.0121
90.00000000000006,0.5,0.02,0.02,0.01,0.0133
90.00000000000006,0.5,0.02,0.02,0.02,0.0153
90.00000000000006,0.5,0.02,0.02,0.03,0.0163
90.00000000000006,0.5,0.02,0.03,0,0.0129
90.00000000000006,0.5,0.02,0.03,0.01,0.0139
90.00000000000006,0.5,0.02,0.03,0.02,0.0153
90.00000000000006,0.5,0.02,0.03,0.03,0.0184
90.00000000000006,0.5,0.03,0,0,0.0161
90.00000000000006,0.5,0.03,0,0.01,0.0172
90.00000000000006,0.5,0.03,0,0.02,0.017
90.00000000000006,0.5,0.03,0,0.03,0.0184
90.00000000000006,0.5,0.03,0.01,0,0.0163
90.00000000000006,0.5,0.03,0.01,0.01,0.0174
90.00000000000006,0.5,0.03,0.01,0.02,0.0191
90.00000000000006,0.5,0.03,0.01,0.03,0.0188
