yA_in,yB_in,yY_in,yZ_in,T,PA_out
0.3,0.231,0.155,0.314,350.0,0.289
0.3,0.231,0.234,0.234,350.0,0.298
0.3,0.231,0.31,0.159,350.0,0.299
0.3,0.35,0.115,0.234,350.0,0.295
0.3,0.35,0.175,0.175,350.0,0.296
0.3,0.35,0.231,0.119,350.0,0.287
0.3,0.462,0.079,0.159,350.0,0.3
0.3,0.462,0.119,0.119,350.0,0.3
0.3,0.462,0.157,0.081,350.0,0.295
0.4,0.198,0.133,0.269,350.0,0.39
0.4,0.198,0.201,0.201,350.0,0.388
0.4,0.198,0.265,0.137,350.0,0.4
0.4,0.3,0.099,0.201,350.0,0.393
0.4,0.3,0.15,0.15,350.0,0.394
0.4,0.3,0.198,0.102,350.0,0.388
0.4,0.396,0.067,0.137,350.0,0.388
0.4,0.396,0.102,0.102,350.0,0.388
0.4,0.396,0.135,0.069,350.0,0.395
0.5,0.165,0.111,0.224,350.0,0.5
0.5,0.165,0.167,0.167,350.0,0.487
0.5,0.165,0.221,0.114,350.0,0.5
0.5,0.25,0.082,0.167,350.0,0.484
0.5,0.25,0.125,0.125,350.0,0.488
0.5,0.25,0.165,0.085,350.0,0.488
0.5,0.33,0.056,0.114,350.0,0.49
0.5,0.33,0.085,0.085,350.0,0.482
0.5,0.33,0.112,0.058,350.0,0.484
0.6,0.132,0.088,0.18,350.0,0.584
0.6,0.132,0.134,0.134,350.0,0.583
0.6,0.132,0.177,0.091,350.0,0.586
0.6,0.2,0.066,0.134,350.0,0.598
0.6,0.2,0.1,0.1,350.0,0.581
0.6,0.2,0.132,0.068,350.0,0.585
0.6,0.264,0.045,0.091,350.0,0.587
0.6,0.264,0.068,0.068,350.0,0.595
0.6,0.264,0.09,0.046,350.0,0.585
0.7,0.099,0.066,0.135,350.0,0.684
0.7,0.099,0.101,0.101,350.0,0.686
0.7,0.099,0.133,0.068,350.0,0.7
0.7,0.15,0.05,0.1,350.0,0.69
0.7,0.15,0.075,0.075,350.0,0.683
0.7,0.15,0.099,0.051,350.0,0.684
0.7,0.198,0.034,0.068,350.0,0.689
0.7,0.198,0.051,0.051,350.0,0.684
0.7,0.198,0.067,0.035,350.0,0.688
0.3,0.231,0.155,0.314,400.0,0.276
0.3,0.231,0.234,0.234,400.0,0.279
0.3,0.231,0.31,0.159,400.0,0.285
0.3,0.35,0.115,0.234,400.0,0.275
0.3,0.35,0.175,0.175,400.0,0.279
0.3,0.35,0.231,0.119,400.0,0.292
0.3,0.462,0.079,0.159,400.0,0.267
0.3,0.462,0.119,0.119,400.0,0.282
0.3,0.462,0.157,0.081,400.0,0.285
0.4,0.198,0.133,0.269,400.0,0.366
0.4,0.198,0.201,0.201,400.0,0.37
0.4,0.198,0.265,0.137,400.0,0.382
0.4,0.3,0.099,0.201,400.0,0.373
0.4,0.3,0.15,0.15,400.0,0.382
0.4,0.3,0.198,0.102,400.0,0.38
0.4,0.396,0.067,0.137,400.0,0.363
0.4,0.396,0.102,0.102,400.0,0.36
0.4,0.396,0.135,0.069,400.0,0.377
0.5,0.165,0.111,0.224,400.0,0.462
0.5,0.165,0.167,0.167,400.0,0.477
0.5,0.165,0.221,0.114,400.0,0.474
0.5,0.25,0.082,0.167,400.0,0.46
0.5,0.25,0.125,0.125,400.0,0.473
0.5,0.25,0.165,0.085,400.0,0.476
0.5,0.33,0.056,0.114,400.0,0.456
0.5,0.33,0.085,0.085,400.0,0.447
0.5,0.33,0.112,0.058,400.0,0.456
0.6,0.132,0.088,0.18,400.0,0.568
0.6,0.132,0.134,0.134,400.0,0.565
0.6,0.132,0.177,0.091,400.0,0.568
0.6,0.2,0.066,0.134,400.0,0.556
0.6,0.2,0.1,0.1,400.0,0.565
0.6,0.2,0.132,0.068,400.0,0.563
0.6,0.264,0.045,0.091,400.0,0.536
0.6,0.264,0.068,0.068,400.0,0.549
0.6,0.264,0.09,0.046,400.0,0.561
0.7,0.099,0.066,0.135,400.0,0.648
0.7,0.099,0.101,0.101,400.0,0.669
0.7,0.099,0.133,0.068,400.0,0.662
0.7,0.15,0.05,0.1,400.0,0.634
0.7,0.15,0.075,0.075,400.0,0.656
0.7,0.15,0.099,0.051,400.0,0.647
0.7,0.198,0.034,0.068,400.0,0.628
0.7,0.198,0.051,0.051,400.0,0.642
0.7,0.198,0.067,0.035,400.0,0.638
0.3,0.231,0.155,0.314,450.0,0.232
0.3,0.231,0.234,0.234,450.0,0.249
0.3,0.231,0.31,0.159,450.0,0.255
0.3,0.35,0.115,0.234,450.0,0.219
0.3,0.35,0.175,0.175,450.0,0.243
0.3,0.35,0.231,0.119,450.0,0.243
0.3,0.462,0.079,0.159,450.0,0.201
0.3,0.462,0.119,0.119,450.0,0.213
0.3,0.462,0.157,0.081,450.0,0.222
0.4,0.198,0.133,0.269,450.0,0.326
0.4,0.198,0.201,0.201,450.0,0.329
0.4,0.198,0.265,0.137,450.0,0.34
0.4,0.3,0.099,0.201,450.0,0.308
0.4,0.3,0.15,0.15,450.0,0.313
0.4,0.3,0.198,0.102,450.0,0.324
0.4,0.396,0.067,0.137,450.0,0.292
0.4,0.396,0.102,0.102,450.0,0.294
0.4,0.396,0.135,0.069,450.0,0.31
0.5,0.165,0.111,0.224,450.0,0.412
0.5,0.165,0.167,0.167,450.0,0.417
0.5,0.165,0.221,0.114,450.0,0.432
0.5,0.25,0.082,0.167,450.0,0.373
0.5,0.25,0.125,0.125,450.0,0.391
0.5,0.25,0.165,0.085,450.0,0.396
0.5,0.33,0.056,0.114,450.0,0.364
0.5,0.33,0.085,0.085,450.0,0.373
0.5,0.33,0.112,0.058,450.0,0.372
0.6,0.132,0.088,0.18,450.0,0.504
0.6,0.132,0.134,0.134,450.0,0.498
0.6,0.132,0.177,0.091,450.0,0.508
0.6,0.2,0.066,0.134,450.0,0.47
0.6,0.2,0.1,0.1,450.0,0.471
0.6,0.2,0.132,0.068,450.0,0.483
0.6,0.264,0.045,0.091,450.0,0.439
0.6,0.264,0.068,0.068,450.0,0.459
0.6,0.264,0.09,0.046,450.0,0.468
0.7,0.099,0.066,0.135,450.0,0.6
0.7,0.099,0.101,0.101,450.0,0.619
0.7,0.099,0.133,0.068,450.0,0.611
0.7,0.15,0.05,0.1,450.0,0.574
0.7,0.15,0.075,0.075,450.0,0.565
0.7,0.15,0.099,0.051,450.0,0.579
0.7,0.198,0.034,0.068,450.0,0.552
0.7,0.198,0.051,0.051,450.0,0.557
0.7,0.198,0.067,0.035,450.0,0.553
