Experiment,T,CA0,t_meas,CA_meas
1.0,65.0,0.5,5.0,0.48
1.0,65.0,0.5,10.0,0.4
1.0,65.0,0.5,15.0,0.45
1.0,65.0,0.5,20.0,0.42
1.0,65.0,0.5,25.0,0.3
1.0,65.0,0.5,30.0,0.4
2.0,73.0,0.5,5.0,0.43
2.0,73.0,0.5,10.0,0.39
2.0,73.0,0.5,15.0,0.29
2.0,73.0,0.5,20.0,0.26
2.0,73.0,0.5,25.0,0.21
2.0,73.0,0.5,30.0,0.28
3.0,82.0,0.5,5.0,0.41
3.0,82.0,0.5,10.0,0.25
3.0,82.0,0.5,15.0,0.3
3.0,82.0,0.5,20.0,0.2
3.0,82.0,0.5,25.0,0.2
3.0,82.0,0.5,30.0,0.17
4.0,90.0,0.5,5.0,0.38
4.0,90.0,0.5,10.0,0.24
4.0,90.0,0.5,15.0,0.12
4.0,90.0,0.5,20.0,0.13
4.0,90.0,0.5,25.0,0.11
4.0,90.0,0.5,30.0,0.08
5.0,65.0,1.0,5.0,0.94
5.0,65.0,1.0,10.0,0.95
5.0,65.0,1.0,15.0,0.79
5.0,65.0,1.0,20.0,0.77
5.0,65.0,1.0,25.0,0.79
5.0,65.0,1.0,30.0,0.71
6.0,73.0,1.0,5.0,0.92
6.0,73.0,1.0,10.0,0.85
6.0,73.0,1.0,15.0,0.63
6.0,73.0,1.0,20.0,0.71
6.0,73.0,1.0,25.0,0.61
6.0,73.0,1.0,30.0,0.51
7.0,82.0,1.0,5.0,0.81
7.0,82.0,1.0,10.0,0.69
7.0,82.0,1.0,15.0,0.6
7.0,82.0,1.0,20.0,0.37
7.0,82.0,1.0,25.0,0.42
7.0,82.0,1.0,30.0,0.32
8.0,90.0,1.0,5.0,0.7
8.0,90.0,1.0,10.0,0.47
8.0,90.0,1.0,15.0,0.34
8.0,90.0,1.0,20.0,0.25
8.0,90.0,1.0,25.0,0.14
8.0,90.0,1.0,30.0,0.14
9.0,65.0,1.5,5.0,1.33
9.0,65.0,1.5,10.0,1.39
9.0,65.0,1.5,15.0,1.3
9.0,65.0,1.5,20.0,1.16
9.0,65.0,1.5,25.0,1.03
9.0,65.0,1.5,30.0,1.05
10.0,73.0,1.5,5.0,1.31
10.0,73.0,1.5,10.0,1.19
10.0,73.0,1.5,15.0,1.06
10.0,73.0,1.5,20.0,1.0
10.0,73.0,1.5,25.0,0.78
10.0,73.0,1.5,30.0,0.8
11.0,82.0,1.5,5.0,1.19
11.0,82.0,1.5,10.0,0.96
11.0,82.0,1.5,15.0,0.85
11.0,82.0,1.5,20.0,0.6
11.0,82.0,1.5,25.0,0.57
11.0,82.0,1.5,30.0,0.45
12.0,90.0,1.5,5.0,1.07
12.0,90.0,1.5,10.0,0.7
12.0,90.0,1.5,15.0,0.6
12.0,90.0,1.5,20.0,0.31
12.0,90.0,1.5,25.0,0.22
12.0,90.0,1.5,30.0,0.19
