Experiment,T,AtoB,t,yZ
1,25,1,119,0.35
1,25,1,239,0.516
1,25,1,358,0.615
1,25,1,478,0.66
1,25,1,597,0.715
1,25,1,717,0.763
1,25,1,836,0.778
1,25,1,956,0.814
1,25,1,1080,0.836
2,35,0.5,16.3,0.106
2,35,0.5,32.6,0.173
2,35,0.5,48.8,0.245
2,35,0.5,65.1,0.298
2,35,0.5,81.4,0.326
2,35,0.5,97.7,0.354
2,35,0.5,114,0.374
2,35,0.5,130,0.433
2,35,0.5,147,0.414
3,45,2,8.19,0.0892
3,45,2,16.4,0.189
3,45,2,24.6,0.253
3,45,2,32.7,0.289
3,45,2,40.9,0.35
3,45,2,49.1,0.369
3,45,2,57.3,0.377
3,45,2,65.5,0.41
3,45,2,73.7,0.415
