VFR_A_in,VFR_Y_in,VFR_Z_in,T,Y_to_A
500,0,40000,350,0.063
500,0,50000,350,0.054
500,0,60000,350,0.033
500,250,40000,350,0.648
500,250,50000,350,0.653
500,250,60000,350,0.561
500,500,40000,350,1.311
500,500,50000,350,1.11
500,500,60000,350,0.944
1500,0,40000,350,0.045
1500,0,50000,350,0.044
1500,0,60000,350,0.041
1500,250,40000,350,0.241
1500,250,50000,350,0.229
1500,250,60000,350,0.199
1500,500,40000,350,0.415
1500,500,50000,350,0.329
1500,500,60000,350,0.355
2500,0,40000,350,0.051
2500,0,50000,350,0.047
2500,0,60000,350,0.038
2500,250,40000,350,0.142
2500,250,50000,350,0.149
2500,250,60000,350,0.132
2500,500,40000,350,0.248
2500,500,50000,350,0.275
2500,500,60000,350,0.248
500,0,40000,375,0.715
500,0,50000,375,0.57
500,0,60000,375,0.429
500,250,40000,375,1.608
500,250,50000,375,1.368
500,250,60000,375,1.262
500,500,40000,375,2.467
500,500,50000,375,2.322
500,500,60000,375,1.84
1500,0,40000,375,0.651
1500,0,50000,375,0.591
1500,0,60000,375,0.389
1500,250,40000,375,0.924
1500,250,50000,375,0.821
1500,250,60000,375,0.653
1500,500,40000,375,1.361
1500,500,50000,375,1.102
1500,500,60000,375,0.901
2500,0,40000,375,0.576
2500,0,50000,375,0.515
2500,0,60000,375,0.344
2500,250,40000,375,0.801
2500,250,50000,375,0.685
2500,250,60000,375,0.549
2500,500,40000,375,1.022
2500,500,50000,375,0.938
2500,500,60000,375,0.737
500,0,40000,400,55.964
500,0,50000,400,26.204
500,0,60000,400,14.78
500,250,40000,400,69.749
500,250,50000,400,35.31
500,250,60000,400,24.152
500,500,40000,400,104.434
500,500,50000,400,51.524
500,500,60000,400,25.81
1500,0,40000,400,40.973
1500,0,50000,400,21.609
1500,0,60000,400,10.729
1500,250,40000,400,48.311
1500,250,50000,400,23.182
1500,250,60000,400,13.141
1500,500,40000,400,52.225
1500,500,50000,400,21.677
1500,500,60000,400,13.025
2500,0,40000,400,28.041
2500,0,50000,400,15.558
2500,0,60000,400,9.733
2500,250,40000,400,28.495
2500,250,50000,400,19.397
2500,250,60000,400,10.181
2500,500,40000,400,37.404
2500,500,50000,400,22.005
2500,500,60000,400,13.175
