Experiment,T,CA0,CB0,t_meas,CA_meas
1.0,160.0,1.0,1.0,20.0,0.93
1.0,160.0,1.0,1.0,40.0,1.02
1.0,160.0,1.0,1.0,60.0,0.97
1.0,160.0,1.0,1.0,80.0,0.87
1.0,160.0,1.0,1.0,100.0,0.83
2.0,170.0,1.0,1.0,20.0,0.79
2.0,170.0,1.0,1.0,40.0,0.79
2.0,170.0,1.0,1.0,60.0,0.78
2.0,170.0,1.0,1.0,80.0,0.86
2.0,170.0,1.0,1.0,100.0,0.77
3.0,180.0,1.0,1.0,20.0,0.92
3.0,180.0,1.0,1.0,40.0,0.92
3.0,180.0,1.0,1.0,60.0,0.55
3.0,180.0,1.0,1.0,80.0,0.77
3.0,180.0,1.0,1.0,100.0,0.51
4.0,190.0,1.0,1.0,20.0,0.92
4.0,190.0,1.0,1.0,40.0,0.64
4.0,190.0,1.0,1.0,60.0,0.66
4.0,190.0,1.0,1.0,80.0,0.55
4.0,190.0,1.0,1.0,100.0,0.42
5.0,160.0,1.0,2.0,20.0,0.85
5.0,160.0,1.0,2.0,40.0,0.68
5.0,160.0,1.0,2.0,60.0,0.76
5.0,160.0,1.0,2.0,80.0,0.62
5.0,160.0,1.0,2.0,100.0,0.6
6.0,170.0,1.0,2.0,20.0,0.83
6.0,170.0,1.0,2.0,40.0,0.67
6.0,170.0,1.0,2.0,60.0,0.62
6.0,170.0,1.0,2.0,80.0,0.64
6.0,170.0,1.0,2.0,100.0,0.42
7.0,180.0,1.0,2.0,20.0,0.85
7.0,180.0,1.0,2.0,40.0,0.48
7.0,180.0,1.0,2.0,60.0,0.51
7.0,180.0,1.0,2.0,80.0,0.48
7.0,180.0,1.0,2.0,100.0,0.25
8.0,190.0,1.0,2.0,20.0,0.72
8.0,190.0,1.0,2.0,40.0,0.57
8.0,190.0,1.0,2.0,60.0,0.19
8.0,190.0,1.0,2.0,80.0,0.4
8.0,190.0,1.0,2.0,100.0,0.28
9.0,160.0,1.0,3.0,20.0,0.84
9.0,160.0,1.0,3.0,40.0,0.83
9.0,160.0,1.0,3.0,60.0,0.57
9.0,160.0,1.0,3.0,80.0,0.52
9.0,160.0,1.0,3.0,100.0,0.45
10.0,170.0,1.0,3.0,20.0,0.72
10.0,170.0,1.0,3.0,40.0,0.62
10.0,170.0,1.0,3.0,60.0,0.48
10.0,170.0,1.0,3.0,80.0,0.32
10.0,170.0,1.0,3.0,100.0,0.42
11.0,180.0,1.0,3.0,20.0,0.59
11.0,180.0,1.0,3.0,40.0,0.41
11.0,180.0,1.0,3.0,60.0,0.42
11.0,180.0,1.0,3.0,80.0,0.15
11.0,180.0,1.0,3.0,100.0,0.16
12.0,190.0,1.0,3.0,20.0,0.41
12.0,190.0,1.0,3.0,40.0,0.21
12.0,190.0,1.0,3.0,60.0,0.09
12.0,190.0,1.0,3.0,80.0,0.01
12.0,190.0,1.0,3.0,100.0,0.02
13.0,160.0,2.0,1.0,20.0,1.99
13.0,160.0,2.0,1.0,40.0,1.69
13.0,160.0,2.0,1.0,60.0,1.83
13.0,160.0,2.0,1.0,80.0,1.63
13.0,160.0,2.0,1.0,100.0,1.7
14.0,170.0,2.0,1.0,20.0,1.93
14.0,170.0,2.0,1.0,40.0,1.8
14.0,170.0,2.0,1.0,60.0,1.51
14.0,170.0,2.0,1.0,80.0,1.42
14.0,170.0,2.0,1.0,100.0,1.35
15.0,180.0,2.0,1.0,20.0,1.88
15.0,180.0,2.0,1.0,40.0,1.49
15.0,180.0,2.0,1.0,60.0,1.57
15.0,180.0,2.0,1.0,80.0,1.45
15.0,180.0,2.0,1.0,100.0,1.41
16.0,190.0,2.0,1.0,20.0,1.58
16.0,190.0,2.0,1.0,40.0,1.47
16.0,190.0,2.0,1.0,60.0,1.21
16.0,190.0,2.0,1.0,80.0,1.33
16.0,190.0,2.0,1.0,100.0,1.32
17.0,160.0,2.0,2.0,20.0,1.65
17.0,160.0,2.0,2.0,40.0,1.71
17.0,160.0,2.0,2.0,60.0,1.37
17.0,160.0,2.0,2.0,80.0,1.34
17.0,160.0,2.0,2.0,100.0,1.39
18.0,170.0,2.0,2.0,20.0,1.68
18.0,170.0,2.0,2.0,40.0,1.47
18.0,170.0,2.0,2.0,60.0,1.2
18.0,170.0,2.0,2.0,80.0,1.14
18.0,170.0,2.0,2.0,100.0,1.03
19.0,180.0,2.0,2.0,20.0,1.65
19.0,180.0,2.0,2.0,40.0,1.31
19.0,180.0,2.0,2.0,60.0,1.0
19.0,180.0,2.0,2.0,80.0,0.86
19.0,180.0,2.0,2.0,100.0,0.72
20.0,190.0,2.0,2.0,20.0,1.34
20.0,190.0,2.0,2.0,40.0,0.97
20.0,190.0,2.0,2.0,60.0,0.98
20.0,190.0,2.0,2.0,80.0,0.58
20.0,190.0,2.0,2.0,100.0,0.57
21.0,160.0,2.0,3.0,20.0,1.59
21.0,160.0,2.0,3.0,40.0,1.41
21.0,160.0,2.0,3.0,60.0,1.15
21.0,160.0,2.0,3.0,80.0,1.12
21.0,160.0,2.0,3.0,100.0,1.07
22.0,170.0,2.0,3.0,20.0,1.4
22.0,170.0,2.0,3.0,40.0,1.31
22.0,170.0,2.0,3.0,60.0,0.98
22.0,170.0,2.0,3.0,80.0,0.75
22.0,170.0,2.0,3.0,100.0,0.83
23.0,180.0,2.0,3.0,20.0,1.43
23.0,180.0,2.0,3.0,40.0,1.06
23.0,180.0,2.0,3.0,60.0,0.65
23.0,180.0,2.0,3.0,80.0,0.46
23.0,180.0,2.0,3.0,100.0,0.4
24.0,190.0,2.0,3.0,20.0,1.11
24.0,190.0,2.0,3.0,40.0,0.81
24.0,190.0,2.0,3.0,60.0,0.56
24.0,190.0,2.0,3.0,80.0,0.24
24.0,190.0,2.0,3.0,100.0,0.21
25.0,160.0,3.0,1.0,20.0,2.94
25.0,160.0,3.0,1.0,40.0,2.77
25.0,160.0,3.0,1.0,60.0,2.67
25.0,160.0,3.0,1.0,80.0,2.62
25.0,160.0,3.0,1.0,100.0,2.6
