T,tau,yA_in,CZ_out
440.0,30.0,0.1,0.46
440.0,30.0,0.2,0.71
440.0,30.0,0.3,1.27
440.0,30.0,0.4,1.56
440.0,30.0,0.5,2.03
440.0,30.0,0.6,2.33
440.0,30.0,0.7,2.53
440.0,30.0,0.8,2.14
440.0,30.0,0.9,1.82
440.0,40.0,0.1,0.42
440.0,40.0,0.2,0.94
440.0,40.0,0.3,1.67
440.0,40.0,0.4,2.33
440.0,40.0,0.5,2.86
440.0,40.0,0.6,3.02
440.0,40.0,0.7,3.28
440.0,40.0,0.8,3.11
440.0,40.0,0.9,1.98
440.0,50.0,0.1,0.6
440.0,50.0,0.2,1.04
440.0,50.0,0.3,2.16
440.0,50.0,0.4,2.96
440.0,50.0,0.5,3.56
440.0,50.0,0.6,3.88
440.0,50.0,0.7,4.01
440.0,50.0,0.8,3.67
440.0,50.0,0.9,2.34
440.0,60.0,0.1,0.79
440.0,60.0,0.2,1.49
440.0,60.0,0.3,2.29
440.0,60.0,0.4,3.26
440.0,60.0,0.5,4.25
440.0,60.0,0.6,4.66
440.0,60.0,0.7,4.86
440.0,60.0,0.8,4.16
440.0,60.0,0.9,2.95
450.0,30.0,0.1,0.23
450.0,30.0,0.2,0.94
450.0,30.0,0.3,1.53
450.0,30.0,0.4,2.33
450.0,30.0,0.5,2.76
450.0,30.0,0.6,3.3
450.0,30.0,0.7,3.24
450.0,30.0,0.8,3.0
450.0,30.0,0.9,2.16
450.0,40.0,0.1,0.61
450.0,40.0,0.2,1.29
450.0,40.0,0.3,1.93
450.0,40.0,0.4,3.11
450.0,40.0,0.5,3.49
450.0,40.0,0.6,4.01
450.0,40.0,0.7,4.39
450.0,40.0,0.8,3.68
450.0,40.0,0.9,2.6
450.0,50.0,0.1,0.66
450.0,50.0,0.2,1.5
450.0,50.0,0.3,2.4
450.0,50.0,0.4,3.72
450.0,50.0,0.5,4.46
450.0,50.0,0.6,5.0
450.0,50.0,0.7,5.05
450.0,50.0,0.8,4.66
450.0,50.0,0.9,3.07
450.0,60.0,0.1,0.68
450.0,60.0,0.2,1.71
450.0,60.0,0.3,2.97
450.0,60.0,0.4,4.16
450.0,60.0,0.5,5.41
450.0,60.0,0.6,6.04
450.0,60.0,0.7,5.82
450.0,60.0,0.8,5.31
450.0,60.0,0.9,3.27
460.0,30.0,0.1,0.39
460.0,30.0,0.2,1.27
460.0,30.0,0.3,2.03
460.0,30.0,0.4,2.67
460.0,30.0,0.5,3.74
460.0,30.0,0.6,4.14
460.0,30.0,0.7,4.26
460.0,30.0,0.8,3.64
460.0,30.0,0.9,2.59
460.0,40.0,0.1,0.57
460.0,40.0,0.2,1.48
460.0,40.0,0.3,2.46
460.0,40.0,0.4,3.85
460.0,40.0,0.5,4.47
460.0,40.0,0.6,5.36
460.0,40.0,0.7,5.44
460.0,40.0,0.8,4.66
460.0,40.0,0.9,3.07
460.0,50.0,0.1,0.69
460.0,50.0,0.2,1.97
460.0,50.0,0.3,3.29
460.0,50.0,0.4,4.31
460.0,50.0,0.5,5.79
460.0,50.0,0.6,6.55
460.0,50.0,0.7,6.3
460.0,50.0,0.8,5.44
460.0,50.0,0.9,3.47
460.0,60.0,0.1,1.01
460.0,60.0,0.2,2.3
460.0,60.0,0.3,3.87
460.0,60.0,0.4,5.28
460.0,60.0,0.5,6.4
460.0,60.0,0.6,7.43
460.0,60.0,0.7,7.21
460.0,60.0,0.8,6.08
460.0,60.0,0.9,3.68
