t_meas_exp1,CY_meas_exp1,t_meas_exp2,CY_meas_exp2,t_meas_exp3,CY_meas_exp3
0.2,0.014,0.1,0.015,0.02,0.009
1.3,0.067,0.3,0.038,0.08,0.045
2.4,0.083,0.6,0.088,0.14,0.085
3.7,0.149,0.9,0.13,0.22,0.121
5.2,0.189,1.2,0.159,0.3,0.149
6.8,0.222,1.5,0.199,0.38,0.191
8.6,0.272,1.9,0.233,0.48,0.227
10.7,0.322,2.4,0.262,0.59,0.269
13.1,0.389,2.9,0.303,0.72,0.308
15.9,0.427,3.4,0.331,0.87,0.345
19.2,0.443,4.1,0.379,1.03,0.367
23.2,0.518,4.9,0.401,1.23,0.41
28,0.546,5.8,0.438,1.46,0.437
34,0.584,6.9,0.476,1.73,0.474
41.7,0.634,8.2,0.498,2.07,0.518
51.9,0.672,10,0.565,2.5,0.565
66.2,0.717,12.2,0.593,3.07,0.586
87.6,0.772,15.3,0.622,3.84,0.63
124,0.816,19.9,0.673,5,0.662
199,0.86,27.9,0.688,7.01,0.708
